"","scenario","team","reduction"
"1","RL02_","COL",21.3383304981238
"2","RL02_","NEU",1.97324855521688
"3","RL02_","UTA",19.8359013826306
"4","RL02_","UVA",3.94906668195391
"5","RL02_","IMP",0.149140659322198
"6","RL02_","COL2",6.73188773025414
"7","RL02_","NEU2",1.87402041714904
"8","RL03_","COL",8.0417277710381
"9","RL03_","NEU",6.021091149273
"10","RL03_","UTA",22.1032674350596
"11","RL03_","UVA",2.61587813195172
"12","RL03_","IMP",8.49029599208409
"13","RL03_","COL2",2.8664290406183
"14","RL03_","NEU2",5.28333445624149
"15","RL04_","COL",31.4537850437487
"16","RL04_","NEU",17.0363792324861
"17","RL04_","UTA",39.175513944346
"18","RL04_","UVA",6.46578850425581
"19","RL04_","IMP",8.69121748289781
"20","RL04_","COL2",10.5818564653813
"21","RL04_","NEU2",16.0317702657625
"22","RL05_","COL",2.76344695430536
"23","RL05_","NEU",23.641084477783
"24","RL05_","UTA",37.2016044999255
"25","RL05_","UVA",13.5722948152573
"26","RL05_","IMP",-5.80115010869781e-05
"27","RL05_","COL2",6.32720633833769
"28","RL05_","NEU2",24.9493712641412
"29","RL06_","COL",6.03434571124615
"30","RL06_","NEU",-0.0269651850939587
"31","RL06_","UTA",37.7890287945553
"32","RL06_","UVA",7.19617023558621
"33","RL06_","IMP",12.7508849296189
"34","RL06_","COL2",-8.61202939608232
"35","RL06_","NEU2",-0.0264347006234265
"36","RL07_","COL",33.6537485513446
"37","RL07_","NEU",35.2636676208526
"38","RL07_","UTA",70.8543395663819
"39","RL07_","UVA",34.6219638460045
"40","RL07_","IMP",17.7977738764616
"41","RL07_","COL2",30.4427108120333
"42","RL07_","NEU2",35.9774009064444
"43","RL08_","COL",47.0716032564817
"44","RL08_","NEU",41.8145721362746
"45","RL08_","UTA",74.240462169824
"46","RL08_","UVA",41.2477196484816
"47","RL08_","IMP",20.4867158313393
"48","RL08_","COL2",26.4231177351516
"49","RL08_","NEU2",42.5709734624863
