"","scenario","team","agegroup","cml","lower","upper"
"1","HP13_","COL","0-4 years",1.844937,1.401874,2.285262
"2","HP13_","COL","5-17 years",3.140815,2.417731,3.82472
"3","HP13_","COL","18-49 years",35.659504,33.504662,37.610381
"4","HP13_","COL","50-64 years",49.644923,45.9375,53.439466
"5","HP13_","COL","65+ years",150.621544,113.156226,186.80289
"6","HP13_","NEU","0-4 years",2.964634,2.960949,2.97575
"7","HP13_","NEU","5-17 years",6.027151,6.022094,6.043135
"8","HP13_","NEU","18-49 years",30.223492,30.194944,30.311445
"9","HP13_","NEU","50-64 years",5.452051,5.446216,5.46991
"10","HP13_","NEU","65+ years",351.957939,351.444832,353.492515
"11","HP13_","UTA","0-4 years",4.79424226788041,3.94827743076508,5.2979657169652
"12","HP13_","UTA","5-17 years",6.96501355513837,5.93008188057558,7.53265053271024
"13","HP13_","UTA","18-49 years",51.4381962577278,43.4877504116937,55.5697432699156
"14","HP13_","UTA","50-64 years",54.6938681995899,46.0107012843745,59.2271285021099
"15","HP13_","UTA","65+ years",353.991848956836,242.707169940732,446.747407503986
"16","HP13_","UVA","0-4 years",0,0,0
"17","HP13_","UVA","5-17 years",0,0,0
"18","HP13_","UVA","18-49 years",0,0,0
"19","HP13_","UVA","50-64 years",0,0,0
"20","HP13_","UVA","65+ years",0,0,0
"21","HP13_","IMP","0-4 years",2.88848971542678,2.6837143684687,3.10325817405135
"22","HP13_","IMP","5-17 years",5.52182559560564,5.41598130000734,5.62175234207806
"23","HP13_","IMP","18-49 years",23.9841521975698,22.1607532534024,26.1561870228801
"24","HP13_","IMP","50-64 years",40.7635090172456,36.8267002941884,43.4595134177237
"25","HP13_","IMP","65+ years",320.435527531432,290.610046707036,366.666808606642
"26","HP13_","COL2","0-4 years",4.00774848144875,3.91974274819146,4.09092341739585
"27","HP13_","COL2","5-17 years",6.89091577445414,6.81339816533178,6.95812108412505
"28","HP13_","COL2","18-49 years",31.2602129353222,30.5605001511657,31.9574160984417
"29","HP13_","COL2","50-64 years",34.2628852409117,32.4830056804885,36.2335139299787
"30","HP13_","COL2","65+ years",133.853418119666,124.312184166832,143.971796826156
