"","scenario","team","reduction"
"1","RL02_","COL",22.7159171301425
"2","RL02_","NEU",1.96152475012319
"3","RL02_","UTA",19.2644190242802
"4","RL02_","UVA",3.81764134190073
"5","RL02_","IMP",0.143309486570671
"6","RL02_","COL2",6.43329644993816
"7","RL02_","NEU2",1.96152437604773
"8","RL03_","COL",7.5892170956222
"9","RL03_","NEU",-0.607383434011104
"10","RL03_","UTA",33.9502436570505
"11","RL03_","UVA",14.0353449722351
"12","RL03_","IMP",3.57117956389541
"13","RL03_","COL2",2.65581421092496
"14","RL03_","NEU2",-0.607383211701123
"15","RL04_","COL",32.516143505125
"16","RL04_","NEU",11.1478555830751
"17","RL04_","UTA",47.9661078616621
"18","RL04_","UVA",17.3200065404158
"19","RL04_","IMP",3.77493048964182
"20","RL04_","COL2",10.0687713659332
"21","RL04_","NEU2",11.1478548691283
"22","RL05_","COL",2.63068769853129
"23","RL05_","NEU",24.5815396523073
"24","RL05_","UTA",37.8413535524751
"25","RL05_","UVA",13.1995350807375
"26","RL05_","IMP",-8.4116720537839e-05
"27","RL05_","COL2",6.87886478680417
"28","RL05_","NEU2",24.5815394043091
"29","RL06_","COL",5.06700066407133
"30","RL06_","NEU",-0.0257028161705867
"31","RL06_","UTA",38.6701005819367
"32","RL06_","UVA",6.85669887817566
"33","RL06_","IMP",13.8597423086224
"34","RL06_","COL2",-7.25004912112616
"35","RL06_","NEU2",-0.0257031739326277
"36","RL07_","COL",34.7543151860599
"37","RL07_","NEU",31.5525966544683
"38","RL07_","UTA",75.5375510868795
"39","RL07_","UVA",41.8440906276763
"40","RL07_","IMP",13.9282035272107
"41","RL07_","COL2",30.2789222285717
"42","RL07_","NEU2",31.5525968627754
"43","RL08_","COL",47.4909267981186
"44","RL08_","NEU",38.7705967377004
"45","RL08_","UTA",78.3884553732351
"46","RL08_","UVA",47.3281084469025
"47","RL08_","IMP",17.2901896155557
"48","RL08_","COL2",26.3179466928614
"49","RL08_","NEU2",38.7705969165542
