"","scenario","team","agegroup","reduction"
"1","HP02_","COL","Overall",29.1130212585649
"2","HP02_","COL","0-4 years",27.4246179288356
"3","HP02_","COL","5-17 years",27.222755504786
"4","HP02_","COL","18-49 years",29.3583548018065
"5","HP02_","COL","50-64 years",31.1165773043447
"6","HP02_","COL","65+ years",21.3261982496302
"7","HP02_","NEU","Overall",25.9314624204254
"8","HP02_","NEU","0-4 years",27.5987890303545
"9","HP02_","NEU","5-17 years",31.4415067573719
"10","HP02_","NEU","18-49 years",25.0051089604372
"11","HP02_","NEU","50-64 years",22.6945017056199
"12","HP02_","NEU","65+ years",22.7721030680099
"13","HP02_","UTA","Overall",56.1723360580777
"14","HP02_","UTA","0-4 years",47.4169122417302
"15","HP02_","UTA","5-17 years",47.9361383204297
"16","HP02_","UTA","18-49 years",58.2640058230798
"17","HP02_","UTA","50-64 years",56.831506859529
"18","HP02_","UTA","65+ years",73.3681406164489
"19","HP02_","UVA","Overall",22.2011691503834
"20","HP02_","UVA","0-4 years",28.4582554257455
"21","HP02_","UVA","5-17 years",23.3605259959877
"22","HP02_","UVA","18-49 years",20.6140548224642
"23","HP02_","UVA","50-64 years",21.6679514117357
"24","HP02_","UVA","65+ years",22.1213877332917
"25","HP02_","IMP","Overall",21.2903942788653
"26","HP02_","IMP","0-4 years",36.7278529072885
"27","HP02_","IMP","5-17 years",31.238211247028
"28","HP02_","IMP","18-49 years",16.2935373666068
"29","HP02_","IMP","50-64 years",17.8854171667498
"30","HP02_","IMP","65+ years",15.4960332658831
"31","HP02_","COL2","Overall",4.99549058955327
"32","HP02_","COL2","0-4 years",8.20794315596359
"33","HP02_","COL2","5-17 years",5.12760927189641
"34","HP02_","COL2","18-49 years",4.13160292012797
"35","HP02_","COL2","50-64 years",6.01485884800801
"36","HP02_","COL2","65+ years",6.12139626516627
"37","HP03_","COL","Overall",0
"38","HP03_","COL","0-4 years",0
"39","HP03_","COL","5-17 years",0
"40","HP03_","COL","18-49 years",0
"41","HP03_","COL","50-64 years",0
"42","HP03_","COL","65+ years",0
"43","HP03_","NEU","Overall",0.225126616703166
"44","HP03_","NEU","0-4 years",0.253670474148703
"45","HP03_","NEU","5-17 years",0.292968586661407
"46","HP03_","NEU","18-49 years",0.213769129340321
"47","HP03_","NEU","50-64 years",0.184107575119537
"48","HP03_","NEU","65+ years",0.183135561007786
"49","HP03_","UTA","Overall",-3.25992742846321
"50","HP03_","UTA","0-4 years",-3.43523064822299
"51","HP03_","UTA","5-17 years",-3.02819099885535
"52","HP03_","UTA","18-49 years",-3.12267822397676
"53","HP03_","UTA","50-64 years",-3.20150364142654
"54","HP03_","UTA","65+ years",-5.41358745983854
"55","HP03_","UVA","Overall",0.655949118570843
"56","HP03_","UVA","0-4 years",0.83158576619337
