"","scenario","team","reduction"
"1","HP02_","COL",25.182108669973
"2","HP02_","NEU",23.1299481953712
"3","HP02_","UTA",70.5187699595808
"4","HP02_","UVA",21.8170987334536
"5","HP02_","IMP",14.705019785412
"6","HP02_","COL2",5.56926620820879
"7","HP03_","COL",0
"8","HP03_","NEU",0.188184608826377
"9","HP03_","UTA",-4.68243755197924
"10","HP03_","UVA",0.613981842402921
"11","HP03_","IMP",0.189076435618627
"12","HP03_","COL2",0.037412562752456
"13","HP04_","COL",27.9108517826632
"14","HP04_","NEU",36.7877709349004
"15","HP04_","UTA",1.60249591503956
"16","HP04_","UVA",5.05982435588912
"17","HP04_","IMP",3.41280046188656
"18","HP04_","COL2",12.7288551855865
"19","HP05_","COL",35.4157492253078
"20","HP05_","NEU",70.9292852344591
"21","HP05_","UTA",5.01430391221798
"22","HP05_","UVA",0.487981158132142
"23","HP05_","IMP",38.975900108971
"24","HP05_","COL2",7.06791191888483
"25","HP06_","COL",4.27637293872335
"26","HP06_","NEU",17.659101596993
"27","HP06_","UTA",16.2675702609529
"28","HP06_","UVA",15.0484597104279
"29","HP06_","IMP",25.5856340934477
"30","HP06_","COL2",17.3527968790852
"31","HP07_","COL",8.26245531531782
"32","HP07_","NEU",26.5827153316665
"33","HP07_","UTA",24.9617398441492
"34","HP07_","UVA",3.4624148127465
"35","HP07_","IMP",14.627951316637
"36","HP07_","COL2",17.5905033117092
"37","HP08_","COL",8.2570141230974
"38","HP08_","NEU",15.3014195994492
"39","HP08_","UTA",23.36202571911
"40","HP08_","UVA",2.56934456118348
"41","HP08_","IMP",3.31287305531951
"42","HP08_","COL2",3.15439983830075
"43","HP09_","COL",35.8079684978628
"44","HP09_","NEU",71.1963952158251
"45","HP09_","UTA",84.8723868503767
"46","HP09_","UVA",56.1615432720033
"47","HP09_","IMP",67.6167464524105
"48","HP09_","COL2",65.4397985241134
"49","HP10_","COL",44.2124221728386
"50","HP10_","NEU",94.7118966636556
"51","HP10_","UTA",97.2926200465415
"52","HP10_","UVA",76.5974326271
"53","HP10_","IMP",92.6901411422532
"54","HP10_","COL2",52.5094298888578
"55","HP11_","COL",12.1270128037069
"56","HP11_","NEU",40.4581496526372
"57","HP11_","UTA",46.3788121134541
"58","HP11_","UVA",43.2296907310449
"59","HP11_","IMP",44.2155965017539
"60","HP11_","COL2",22.2272726707865
"61","HP12_","COL",16.8191588715263
"62","HP12_","NEU",67.1229433306756
"63","HP12_","UTA",50.9070924536404
"64","HP12_","UVA",64.5909263066201
"65","HP12_","IMP",70.048766676973
"66","HP12_","COL2",24.2389070198716
