Location,Agegroup,Bin_cml,Cml,Bin,PeakMagnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.2),0,[0-0.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166666666666667,0.00666666666666667,0.03,0.0666666666666667,0.133333333333333,0.288333333333333,0.468333333333333,0.69,0.88,0.966666666666667,0.998333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[0.2-0.4),0,[0.1-0.2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0.0166666666666667,0.0566666666666667,0.133333333333333,0.278333333333333,0.431666666666667,0.566666666666667,0.591666666666667,0.49,0.308333333333333,0.12,0.0333333333333333,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.4-0.6),0,[0.2-0.3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166666666666667,0.0116666666666667,0.035,0.108333333333333,0.251666666666667,0.378333333333333,0.416666666666667,0.393333333333333,0.258333333333333,0.118333333333333,0.0416666666666667,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.6-0.8),6.41025641025641e-05,[0.3-0.4),0,0,0,0,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166666666666667,0.0116666666666667,0.0466666666666667,0.158333333333333,0.298333333333333,0.36,0.336666666666667,0.208333333333333,0.095,0.0416666666666667,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.8-1),0.00266025641025641,[0.4-0.5),0,0,0,0,0,0,0,0,0.00166666666666667,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116666666666667,0.0466666666666667,0.168333333333333,0.273333333333333,0.311666666666667,0.231666666666667,0.116666666666667,0.065,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1-1.2),0.0115064102564103,[0.5-0.6),0,0,0,0,0,0,0,0,0.0316666666666667,0.185,0.0233333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.0316666666666667,0.138333333333333,0.231666666666667,0.293333333333333,0.181666666666667,0.0716666666666667,0.0283333333333333,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.2-1.4),0.00493589743589744,[0.6-0.7),0,0,0,0,0,0,0,0.0166666666666667,0.15,0.33,0.0916666666666667,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0.00833333333333333,0.0816666666666667,0.221666666666667,0.273333333333333,0.15,0.065,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.4-1.6),0.000256410256410256,[0.7-0.8),0,0,0,0,0,0,0.00166666666666667,0.08,0.27,0.218333333333333,0.178333333333333,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.0516666666666667,0.188333333333333,0.256666666666667,0.16,0.0683333333333333,0.0183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.6-1.8),0.000705128205128205,[0.8-0.9),0,0,0,0,0,0,0.0283333333333333,0.185,0.271666666666667,0.165,0.253333333333333,0.00166666666666667,0,0,0,0,0,0,0,0,0.00166666666666667,0.02,0.11,0.228333333333333,0.171666666666667,0.065,0.0183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.8-2),0.00310897435897436,[0.9-1),0,0,0,0,0,0.00333333333333333,0.0783333333333333,0.293333333333333,0.16,0.0516666666666667,0.23,0.00666666666666667,0,0,0,0,0,0,0,0,0.00833333333333333,0.04,0.175,0.218333333333333,0.0916666666666667,0.0366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2-2.2),0.00673076923076923,[1-1.1),0,0,0,0,0,0.0266666666666667,0.175,0.185,0.095,0.00333333333333333,0.145,0.0383333333333333,0,0,0,0,0,0,0,0,0.01,0.0916666666666667,0.225,0.118333333333333,0.05,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.2-2.4),0.00551282051282051,[1.1-1.2),0,0,0,0,0.00333333333333333,0.0583333333333333,0.273333333333333,0.141666666666667,0.02,0,0.0583333333333333,0.0683333333333333,0,0,0,0,0,0,0,0.00833333333333333,0.03,0.15,0.186666666666667,0.0733333333333333,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.4-2.6),0.00358974358974359,[1.2-1.3),0,0,0,0.00166666666666667,0.0183333333333333,0.158333333333333,0.186666666666667,0.0733333333333333,0,0,0.02,0.113333333333333,0,0,0,0,0,0,0,0.00333333333333333,0.0616666666666667,0.2,0.108333333333333,0.0366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.6-2.8),0.00208333333333333,[1.3-1.4),0,0,0,0.005,0.0583333333333333,0.243333333333333,0.13,0.025,0,0,0,0.121666666666667,0,0,0,0,0,0,0,0.01,0.106666666666667,0.2,0.0816666666666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.8-3),0.00487179487179487,[1.4-1.5),0,0.00166666666666667,0.00333333333333333,0.0166666666666667,0.116666666666667,0.21,0.0966666666666667,0,0,0,0,0.198333333333333,0,0,0,0,0,0,0.00333333333333333,0.0333333333333333,0.14,0.115,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
