"","Team","Scenario","Reduction","Rank","Output"
"1","COL","2009-2",12650695.512,4,"Averted Number"
"2","NEU3","2009-2",1866749.14400001,5,"Averted Number"
"3","UTA","2009-2",6584488.73148585,6,"Averted Number"
"4","UVA","2009-2",2578792.07582962,5.5,"Averted Number"
"5","IMP","2009-2",2049315.0873533,6,"Averted Number"
"6","COL2","2009-2",3054782.34600375,5,"Averted Number"
"7","ENS","2009-2",4797470.48277876,6,"Averted Number"
"8","COL","2009-3",3696734.44399999,5,"Averted Number"
"9","NEU3","2009-3",326373.840000004,6,"Averted Number"
"10","UTA","2009-3",5143181.33799152,7,"Averted Number"
"11","UVA","2009-3",0,7,"Averted Number"
"12","IMP","2009-3",647911.500939981,7,"Averted Number"
"13","COL2","2009-3",1196067.50405787,6,"Averted Number"
"14","ENS","2009-3",1835044.7711649,7,"Averted Number"
"15","COL","2009-4",17654732.368,3,"Averted Number"
"16","NEU3","2009-4",5139262.024,4,"Averted Number"
"17","UTA","2009-4",11072652.8902217,5,"Averted Number"
"18","UVA","2009-4",2578792.07582962,5.5,"Averted Number"
"19","IMP","2009-4",3095588.40129836,5,"Averted Number"
"20","COL2","2009-4",4748859.8320342,3,"Averted Number"
"21","ENS","2009-4",7381647.93189732,4,"Averted Number"
"22","COL","2009-5",1477462.896,7,"Averted Number"
"23","NEU3","2009-5",16949494.276,3,"Averted Number"
"24","UTA","2009-5",15802153.258628,3,"Averted Number"
"25","UVA","2009-5",9898634.74957633,3,"Averted Number"
"26","IMP","2009-5",17032119.4366966,4,"Averted Number"
"27","COL2","2009-5",3709100.74268676,4,"Averted Number"
"28","ENS","2009-5",10811494.226598,3,"Averted Number"
"29","COL","2009-6",2409981.496,6,"Averted Number"
"30","NEU3","2009-6",76531.2600000075,7,"Averted Number"
"31","UTA","2009-6",15546884.6540681,4,"Averted Number"
"32","UVA","2009-6",5182924.83267893,4,"Averted Number"
"33","IMP","2009-6",20156123.4408693,3,"Averted Number"
"34","COL2","2009-6",-2857833.90968031,7,"Averted Number"
"35","ENS","2009-6",6752435.29565603,5,"Averted Number"
"36","COL","2009-7",19004437.608,2,"Averted Number"
"37","NEU3","2009-7",20745012.184,2,"Averted Number"
"38","UTA","2009-7",26061436.0564489,2,"Averted Number"
"39","UVA","2009-7",22965045.9274807,2,"Averted Number"
"40","IMP","2009-7",30449343.9794231,1,"Averted Number"
"41","COL2","2009-7",15122626.4510484,1,"Averted Number"
"42","ENS","2009-7",22391317.0344002,2,"Averted Number"
"43","COL","2009-8",25492512.084,1,"Averted Number"
"44","NEU3","2009-8",31603020.072,1,"Averted Number"
"45","UTA","2009-8",27264548.476366,1,"Averted Number"
"46","UVA","2009-8",26768357.4288125,1,"Averted Number"
"47","IMP","2009-8",28703485.2954025,2,"Averted Number"
"48","COL2","2009-8",13191598.632673,2,"Averted Number"
"49","ENS","2009-8",25503920.3315424,1,"Averted Number"
"50","COL","2009-2",23.5308303608552,4,"Averted Percent"
"51","NEU3","2009-2",3.49451200265384,5,"Averted Percent"
"52","UTA","2009-2",15.4682861242513,6,"Averted Percent"
"53","UVA","2009-2",3.81474284636822,5.5,"Averted Percent"
"54","IMP","2009-2",3.92728077616812,6,"Averted Percent"
"55","COL2","2009-2",5.88514410773734,5,"Averted Percent"
"56","ENS","2009-2",8.9550096725215,6,"Averted Percent"
"57","COL","2009-3",6.87608290061058,5,"Averted Percent"
"58","NEU3","2009-3",0.610964416348079,6,"Averted Percent"
"59","UTA","2009-3",12.0823656580258,7,"Averted Percent"
"60","UVA","2009-3",0,7,"Averted Percent"
"61","IMP","2009-3",1.24164917244917,7,"Averted Percent"
"62","COL2","2009-3",2.30426551769579,6,"Averted Percent"
"63","ENS","2009-3",3.42531418052072,7,"Averted Percent"
"64","COL","2009-4",32.8385512103777,3,"Averted Percent"
"65","NEU3","2009-4",9.62058179342121,4,"Averted Percent"
"66","UTA","2009-4",26.0118849078533,5,"Averted Percent"
"67","UVA","2009-4",3.81474284636822,5.5,"Averted Percent"
"68","IMP","2009-4",5.93234534521931,5,"Averted Percent"
"69","COL2","2009-4",9.14884312315332,3,"Averted Percent"
"70","ENS","2009-4",13.778662915504,4,"Averted Percent"
"71","COL","2009-5",2.74814366824782,7,"Averted Percent"
"72","NEU3","2009-5",31.729068352204,3,"Averted Percent"
"73","UTA","2009-5",37.1224309056673,3,"Averted Percent"
"74","UVA","2009-5",14.6428036807156,3,"Averted Percent"
"75","IMP","2009-5",32.6401321367944,4,"Averted Percent"
"76","COL2","2009-5",7.14571118606313,4,"Averted Percent"
"77","ENS","2009-5",20.1808506631014,3,"Averted Percent"
"78","COL","2009-6",4.48266782655421,6,"Averted Percent"
"79","NEU3","2009-6",0.143264780652417,7,"Averted Percent"
"80","UTA","2009-6",36.5227536983861,4,"Averted Percent"
"81","UVA","2009-6",7.66697153060138,4,"Averted Percent"
"82","IMP","2009-6",38.6269327737354,3,"Averted Percent"
"83","COL2","2009-6",-5.5057161163869,7,"Averted Percent"
"84","ENS","2009-6",12.604167884458,5,"Averted Percent"
"85","COL","2009-7",35.3490602183189,2,"Averted Percent"
"86","NEU3","2009-7",38.8341916776515,2,"Averted Percent"
"87","UTA","2009-7",61.2235461505698,2,"Averted Percent"
"88","UVA","2009-7",33.9716200811541,2,"Averted Percent"
"89","IMP","2009-7",58.3527267208875,1,"Averted Percent"
"90","COL2","2009-7",29.1342642032511,1,"Averted Percent"
"91","ENS","2009-7",41.795871666814,2,"Averted Percent"
"92","COL","2009-8",47.4171540016634,1,"Averted Percent"
"93","NEU3","2009-8",59.1601358525728,1,"Averted Percent"
"94","UTA","2009-8",64.0498987968928,1,"Averted Percent"
"95","UVA","2009-8",39.5977639948886,1,"Averted Percent"
"96","IMP","2009-8",55.0069858487431,2,"Averted Percent"
"97","COL2","2009-8",25.4140721568174,2,"Averted Percent"
"98","ENS","2009-8",47.6058902448722,1,"Averted Percent"
"99","COL","2009-2",0.0971384995279195,7,"Magnitude Reduction"
"100","NEU3","2009-2",0.432182699992342,5,"Magnitude Reduction"
"101","UTA","2009-2",4.69101652970515,7,"Magnitude Reduction"
"102","UVA","2009-2",0,6,"Magnitude Reduction"
"103","IMP","2009-2",1.47700053432728,5,"Magnitude Reduction"
"104","COL2","2009-2",0.619178100797412,7,"Magnitude Reduction"
"105","ENS","2009-2",1.21941939405835,7,"Magnitude Reduction"
"106","COL","2009-3",11.0693195975352,5,"Magnitude Reduction"
"107","NEU3","2009-3",-1.46724909952814,7,"Magnitude Reduction"
"108","UTA","2009-3",18.0439213406779,6,"Magnitude Reduction"
"109","UVA","2009-3",0,6,"Magnitude Reduction"
"110","IMP","2009-3",-4.72208456803124,7,"Magnitude Reduction"
"111","COL2","2009-3",4.41277545736401,6,"Magnitude Reduction"
"112","ENS","2009-3",4.55611378800295,6,"Magnitude Reduction"
"113","COL","2009-4",11.2389453454527,4,"Magnitude Reduction"
"114","NEU3","2009-4",12.0082328855607,4,"Magnitude Reduction"
"115","UTA","2009-4",19.4353149169457,5,"Magnitude Reduction"
"116","UVA","2009-4",0,6,"Magnitude Reduction"
"117","IMP","2009-4",-1.69506541961655,6,"Magnitude Reduction"
