"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP14",1713955.7,5,"Averted Number"
"2","NEU3","HP14",28528.9000000034,10,"Averted Number"
"3","UTA","HP14",10385481.6488284,6,"Averted Number"
"4","UVA","HP14",98517.1064744547,10,"Averted Number"
"5","IMP","HP14",100914.434151502,10.5,"Averted Number"
"6","COL2","HP14",12394.5459336028,10,"Averted Number"
"7","ENS","HP14",2056632.05589799,10,"Averted Number"
"8","COL","HP15",0,11,"Averted Number"
"9","NEU3","HP15",3390.10000000144,11,"Averted Number"
"10","UTA","HP15",-644706.844468999,11,"Averted Number"
"11","UVA","HP15",102.583165880787,11,"Averted Number"
"12","IMP","HP15",100914.434151502,10.5,"Averted Number"
"13","COL2","HP15",48.3867638024547,11,"Averted Number"
"14","ENS","HP15",-90041.8900646346,11,"Averted Number"
"15","COL","HP16",1014767.8,10,"Averted Number"
"16","NEU3","HP16",7526699.60000003,6,"Averted Number"
"17","UTA","HP16",5259146.8730204,9,"Averted Number"
"18","UVA","HP16",1799837.69290131,8,"Averted Number"
"19","IMP","HP16",6023329.7061013,7,"Averted Number"
"20","COL2","HP16",4403058.04282861,6,"Averted Number"
"21","ENS","HP16",4337806.61914194,8,"Averted Number"
"22","COL","HP17",1327646.1,8,"Averted Number"
"23","NEU3","HP17",7975440.60000002,5,"Averted Number"
"24","UTA","HP17",4424519.4144035,10,"Averted Number"
"25","UVA","HP17",1319545.12578616,9,"Averted Number"
"26","IMP","HP17",6239673.8709273,5.5,"Averted Number"
"27","COL2","HP17",4283433.8061014,8,"Averted Number"
"28","ENS","HP17",4261709.8195364,9,"Averted Number"
"29","COL","HP18",1067573.2,9,"Averted Number"
"30","NEU3","HP18",7331725.8,7,"Averted Number"
"31","UTA","HP18",9358131.9303582,7,"Averted Number"
"32","UVA","HP18",2394423.84406446,6,"Averted Number"
"33","IMP","HP18",3911471.08248169,8,"Averted Number"
"34","COL2","HP18",4422676.777672,5,"Averted Number"
"35","ENS","HP18",4747667.10576273,7,"Averted Number"
"36","COL","HP19",1393261.6,7,"Averted Number"
"37","NEU3","HP19",7293347.90000002,8,"Averted Number"
"38","UTA","HP19",9180290.42380253,8,"Averted Number"
"39","UVA","HP19",2340497.61647931,7,"Averted Number"
"40","IMP","HP19",6239673.8709273,5.5,"Averted Number"
"41","COL2","HP19",4301405.7944785,7,"Averted Number"
"42","ENS","HP19",5124746.20094796,6,"Averted Number"
"43","COL","HP20",1682521.8,6,"Averted Number"
"44","NEU3","HP20",4729646,9,"Averted Number"
"45","UTA","HP20",28381124.7154397,5,"Averted Number"
"46","UVA","HP20",2651793.962861,5,"Averted Number"
"47","IMP","HP20",854367.094242399,9,"Averted Number"
"48","COL2","HP20",903611.807747403,9,"Averted Number"
"49","ENS","HP20",6533844.23004844,5,"Averted Number"
"50","COL","HP21",5240686.09999999,2,"Averted Number"
"51","NEU3","HP21",13441153,2,"Averted Number"
"52","UTA","HP21",49832081.0096947,2,"Averted Number"
"53","UVA","HP21",5667214.45283313,2,"Averted Number"
"54","IMP","HP21",9249752.7204348,2,"Averted Number"
"55","COL2","HP21",5802765.94166881,1,"Averted Number"
"56","ENS","HP21",14872275.5374386,2,"Averted Number"
"57","COL","HP22",5975899.20000001,1,"Averted Number"
"58","NEU3","HP22",15774828.4,1,"Averted Number"
"59","UTA","HP22",56753545.3147268,1,"Averted Number"
"60","UVA","HP22",6719807.0928506,1,"Averted Number"
"61","IMP","HP22",9315285.81491999,1,"Averted Number"
"62","COL2","HP22",5725352.99157599,3,"Averted Number"
"63","ENS","HP22",16710786.4690122,1,"Averted Number"
"64","COL","HP23",2825902.9,4,"Averted Number"
"65","NEU3","HP23",12536934.5,4,"Averted Number"
"66","UTA","HP23",35436093.0551808,4,"Averted Number"
"67","UVA","HP23",4899027.90521509,4,"Averted Number"
"68","IMP","HP23",7426712.1954204,4,"Averted Number"
"69","COL2","HP23",5735007.63950282,2,"Averted Number"
"70","ENS","HP23",11476613.0325532,4,"Averted Number"
"71","COL","HP24",3152459.9,3,"Averted Number"
"72","NEU3","HP24",12573928.8,3,"Averted Number"
"73","UTA","HP24",37223975.5802638,3,"Averted Number"
"74","UVA","HP24",5149050.79423458,3,"Averted Number"
"75","IMP","HP24",7557957.18374199,3,"Averted Number"
"76","COL2","HP24",5658544.76365201,4,"Averted Number"
"77","ENS","HP24",11885986.1703154,3,"Averted Number"
"78","COL","HP14",3.41678786260673,5,"Averted Percent"
"79","NEU3","HP14",0.0430874886587272,10,"Averted Percent"
"80","UTA","HP14",12.4517146026344,6,"Averted Percent"
"81","UVA","HP14",0.524545452537918,10,"Averted Percent"
"82","IMP","HP14",0.289274824431151,10.5,"Averted Percent"
"83","COL2","HP14",0.0261035198974098,10,"Averted Percent"
"84","ENS","HP14",4.10056063512105,10,"Averted Percent"
"85","COL","HP15",0,11,"Averted Percent"
"86","NEU3","HP15",0.0051201026083023,11,"Averted Percent"
"87","UTA","HP15",-0.772973839937272,11,"Averted Percent"
"88","UVA","HP15",0.000546194819309503,11,"Averted Percent"
"89","IMP","HP15",0.289274824431151,10.5,"Averted Percent"
"90","COL2","HP15",0.000101904890945973,11,"Averted Percent"
"91","ENS","HP15",-0.179527606239573,11,"Averted Percent"
"92","COL","HP16",2.02294977775921,10,"Averted Percent"
"93","NEU3","HP16",11.3676511766177,6,"Averted Percent"
"94","UTA","HP16",6.30547509788094,9,"Averted Percent"
"95","UVA","HP16",9.58307354837427,8,"Averted Percent"
"96","IMP","HP16",17.2660894140033,7,"Averted Percent"
"97","COL2","HP16",9.27305557187266,6,"Averted Percent"
"98","ENS","HP16",8.64881932293641,8,"Averted Percent"
"99","COL","HP17",2.64667580399958,8,"Averted Percent"
"100","NEU3","HP17",12.0453892859806,5,"Averted Percent"
"101","UTA","HP17",5.30479518089394,10,"Averted Percent"
"102","UVA","HP17",7.0257990710393,9,"Averted Percent"
"103","IMP","HP17",17.8862476780113,5.5,"Averted Percent"
"104","COL2","HP17",9.02112107904422,8,"Averted Percent"
"105","ENS","HP17",8.49709576109349,9,"Averted Percent"
"106","COL","HP18",2.1282178717946,9,"Averted Percent"
"107","NEU3","HP18",11.0731802577863,7,"Averted Percent"
"108","UTA","HP18",11.2199695643163,7,"Averted Percent"
"109","UVA","HP18",12.7488939109072,6,"Averted Percent"
"110","IMP","HP18",11.2123713536729,8,"Averted Percent"
"111","COL2","HP18",9.31437358691653,5,"Averted Percent"
"112","ENS","HP18",9.466008655617,7,"Averted Percent"
"113","COL","HP19",2.77748096074831,7,"Averted Percent"
"114","NEU3","HP19",11.0152177239699,8,"Averted Percent"
"115","UTA","HP19",11.0067457814421,8,"Averted Percent"
"116","UVA","HP19",12.4617685733431,7,"Averted Percent"
"117","IMP","HP19",17.8862476780113,5.5,"Averted Percent"
"118","COL2","HP19",9.05897096549514,7,"Averted Percent"
"119","ENS","HP19",10.2178376906694,6,"Averted Percent"
"120","COL","HP20",3.35412406797401,6,"Averted Percent"
"121","NEU3","HP20",7.14323259518488,9,"Averted Percent"
"122","UTA","HP20",34.027662558943,5,"Averted Percent"
"123","UVA","HP20",14.1192379076513,5,"Averted Percent"
"124","IMP","HP20",2.44907374514613,9,"Averted Percent"
"125","COL2","HP20",1.90305065868698,9,"Averted Percent"
"126","ENS","HP20",13.027329982976,5,"Averted Percent"
"127","COL","HP21",10.4473602545339,2,"Averted Percent"
"128","NEU3","HP21",20.3003104728064,2,"Averted Percent"
"129","UTA","HP21",59.7463720768379,2,"Averted Percent"
"130","UVA","HP21",30.1745724795683,2,"Averted Percent"
"131","IMP","HP21",26.5147460492945,2,"Averted Percent"
"132","COL2","HP21",12.2209088602195,1,"Averted Percent"
"133","ENS","HP21",29.6526874841823,2,"Averted Percent"
"134","COL","HP22",11.9130149365712,1,"Averted Percent"
"135","NEU3","HP22",23.82488423242,1,"Averted Percent"
