"","Agegroup","Bin_cml","Cml","team"
"1","0-4 years","sm.mean",18.449366,"COL"
"2","5-17 years","sm.mean",21.811217,"COL"
"3","18-49 years","sm.mean",44.57438,"COL"
"4","50-64 years","sm.mean",31.420838,"COL"
"5","65+ years","sm.mean",9.593729,"COL"
"6","0-4 years","sm.mean",29.646282,"NEU"
"7","5-17 years","sm.mean",41.855148,"NEU"
"8","18-49 years","sm.mean",37.779319,"NEU"
"9","50-64 years","sm.mean",34.50673,"NEU"
"10","65+ years","sm.mean",22.417683,"NEU"
"11","0-4 yr","sm.mean",45.6566211852857,"UTA"
"12","5-17 yr","sm.mean",48.1286259445439,"UTA"
"13","18-49 yr","sm.mean",48.3130035427301,"UTA"
"14","50-64 yr","sm.mean",48.165473807377,"UTA"
"15","65+ yr","sm.mean",22.48212358126,"UTA"
"16","0-4 years","sm.mean",26.0848303218398,"UVA"
"17","5-17 years","sm.mean",50.5443184985129,"UVA"
"18","18-49 years","sm.mean",30.0742256422218,"UVA"
"19","50-64 years","sm.mean",26.3084098130575,"UVA"
"20","65+ years","sm.mean",10.0507766884665,"UVA"
"21","0-4 years","sm.mean",28.8933113453108,"IMP"
"22","5-17 years","sm.mean",38.3623252792783,"IMP"
"23","18-49 years","sm.mean",30.0518914254517,"IMP"
"24","50-64 years","sm.mean",25.9217285003701,"IMP"
"25","65+ years","sm.mean",21.3709615166808,"IMP"
"26","0-4 years","sm.mean",40.0774848144874,"COL2"
"27","5-17 years","sm.mean",47.8535817670426,"COL2"
"28","18-49 years","sm.mean",39.0752661691528,"COL2"
"29","50-64 years","sm.mean",21.6853704056403,"COL2"
"30","65+ years","sm.mean",8.52569542163476,"COL2"
