Location,Agegroup,Bin_cml,Cml,Bin,Peak Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0.0-0.2),0.0,[0.0-0.1),0.0,0.098561,0.064762,0.036415,0.019189,0.014392,0.011775,0.010249,0.008504,0.001526,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315526,0.60314,0.746838,0.893153,0.96075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US National,Overall,[0.2-0.4),0.0,[0.1-0.2),0.0,0.180986,0.173572,0.14348,0.121457,0.101177,0.075665,0.043175,0.021587,0.009158,0.003707,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394025,0.490188,0.313999,0.203663,0.100959,0.03925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[0.4-0.6),0.0,[0.2-0.3),0.0,0.186655,0.155037,0.157,0.156563,0.153511,0.125382,0.094636,0.084169,0.01461,0.005015,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174008,0.416485,0.184911,0.082861,0.049498,0.005887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[0.6-0.8),0.0,[0.3-0.4),0.0,0.161143,0.178805,0.179241,0.171827,0.14915,0.154819,0.165504,0.139337,0.054732,0.006324,0.003489,0.000218,0.0,0.0,0.0,0.0,0.0,0.00109,0.009812,0.502181,0.179241,0.009158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[0.8-1.0),0.0,[0.4-0.5),0.0,0.134976,0.140427,0.165286,0.187309,0.221108,0.271478,0.363934,0.414086,0.112734,0.02246,0.006542,0.0,0.0,0.0,0.0,0.002617,0.006106,0.013519,0.175098,0.286306,0.007632,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.0-1.2),0.0,[0.5-0.6),0.0,0.091583,0.123855,0.145443,0.176188,0.243131,0.342782,0.320541,0.330353,0.286524,0.047972,0.00894,0.002617,0.001962,0.00109,0.002617,0.00676,0.012429,0.015482,0.409725,0.026167,0.001526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.2-1.4),0.0,[0.6-0.7),0.0,0.060401,0.075229,0.097907,0.149586,0.117532,0.018099,0.001962,0.001962,0.357828,0.082861,0.018535,0.005233,0.000654,0.001526,0.00894,0.011775,0.013519,0.049062,0.283908,0.002617,0.000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.4-1.6),0.0,[0.7-0.8),0.0,0.028129,0.047536,0.05713,0.017881,0.0,0.0,0.0,0.0,0.162887,0.167248,0.026385,0.017662,0.009812,0.008286,0.009376,0.009594,0.021805,0.22198,0.078718,0.00109,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.6-1.8),0.0,[0.8-0.9),0.0,0.023768,0.018971,0.018099,0.0,0.0,0.0,0.0,0.0,0.0,0.306803,0.023114,0.010685,0.009812,0.010031,0.008504,0.018535,0.041867,0.201265,0.01461,0.002181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.8-2.0),0.0,[0.9-1.0),0.011339,0.016136,0.021805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203881,0.045573,0.022896,0.008068,0.008068,0.015264,0.012211,0.059529,0.202791,0.012865,0.001744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[2.0-2.2),0.0,[1.0-1.1),0.023986,0.016572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151112,0.075229,0.009376,0.015482,0.007414,0.011339,0.02573,0.087876,0.117532,0.002181,0.001308,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[2.2-2.4),0.0,[1.1-1.2),0.018535,0.00109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002399,0.114915,0.019407,0.010685,0.017444,0.015046,0.035543,0.125818,0.051679,0.001526,0.00109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[2.4-2.6),0.0,[1.2-1.3),0.004361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.024422,0.011121,0.004361,0.013083,0.045355,0.107283,0.030528,0.002181,0.000872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
