Location,Agegroup,Bin_cml,Cml,Bin,Peak.Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.2),0,[0-0.1),0,1,1,1,1,1,1,1,1,1,1,0.0377358490566038,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.0691823899371069,0.188679245283019,0.389937106918239,0.842767295597484,0.974842767295597,0.981132075471698,0.993710691823899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[0.2-0.4),0,[0.1-0.2),0,0,0,0,0,0,0,0,0,0,0,0.0691823899371069,0.0440251572327044,0,0,0,0,0,0.00628930817610063,0.0251572327044025,0.10062893081761,0.29559748427673,0.50314465408805,0.610062893081761,0.534591194968553,0.144654088050314,0.0251572327044025,0.0188679245283019,0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.4-0.6),0,[0.2-0.3),0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0.29559748427673,0.0314465408805031,0.0314465408805031,0.00628930817610063,0.00628930817610063,0.00628930817610063,0.00628930817610063,0.0440251572327044,0.0943396226415094,0.20125786163522,0.377358490566038,0.327044025157233,0.163522012578616,0.0628930817610063,0.0125786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.6-0.8),0,[0.3-0.4),0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0.289308176100629,0.10062893081761,0.050314465408805,0.0251572327044025,0.0251572327044025,0.0251572327044025,0.0377358490566038,0.0440251572327044,0.132075471698113,0.238993710691824,0.220125786163522,0.0628930817610063,0.0251572327044025,0.0125786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.8-1),0,[0.4-0.5),0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0.157232704402516,0.150943396226415,0.0377358490566038,0.0377358490566038,0.0377358490566038,0.0440251572327044,0.050314465408805,0.0628930817610063,0.0943396226415094,0.232704402515723,0.050314465408805,0.0314465408805031,0.0125786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1-1.2),0,[0.5-0.6),0.0314465408805031,0,0,0,0,0,0,0,0,0,0,0.0628930817610063,0.176100628930818,0.0628930817610063,0.0314465408805031,0.0188679245283019,0.0125786163522013,0.0251572327044025,0.10062893081761,0.238993710691824,0.138364779874214,0.0125786163522013,0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.2-1.4),0,[0.6-0.7),0,0,0,0,0,0,0,0,0,0,0,0.0628930817610063,0.0817610062893082,0.0628930817610063,0.0125786163522013,0.0125786163522013,0.0251572327044025,0.0754716981132075,0.0754716981132075,0.150943396226415,0.0377358490566038,0.0251572327044025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.4-1.6),0,[0.7-0.8),0.0314465408805031,0,0,0,0,0,0,0,0,0,0,0.0125786163522013,0.144654088050314,0.106918238993711,0.0628930817610063,0.0251572327044025,0.0628930817610063,0.050314465408805,0.138364779874214,0.125786163522013,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.6-1.8),0,[0.8-0.9),0.0314465408805031,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0.10062893081761,0.125786163522013,0.0566037735849057,0.0566037735849057,0.0377358490566038,0.0817610062893082,0.125786163522013,0.0754716981132075,0.0125786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.8-2),0,[0.9-1),0.050314465408805,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0.0251572327044025,0.0754716981132075,0.0566037735849057,0.0566037735849057,0.0566037735849057,0.0440251572327044,0.119496855345912,0.0125786163522013,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
